"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3RWO3EJELH9XMAPOSZQM2PER7YJP1Q","www.funwithasl.net/static/shadow.mp4","comet","circle","sand","full","shadow","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:00:49 UTC 2014"
"31KSVEGZ34SBZOL62FJW0A404TGRWJ","www.funwithasl.net/static/sweetheart.mp4","autumn","old","perish","shoes","sweetheart","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:02:19 UTC 2014"
"334ZEL5JX6FFVUCHQISR9QWANT1SOX","www.funwithasl.net/static/back.mp4","nothing","eye","back","first","get","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:01:56 UTC 2014"
"31MCUE39BKMNJ0A4CKEIW9FW4RBG36","www.funwithasl.net/static/see.mp4","dark","book","see","dragon","fire","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:02:26 UTC 2014"
"37OPIVELUU313H4055BA4H53P1FHA1","www.funwithasl.net/static/drift.mp4","familiar","shadow","rival","drift","press","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:02:48 UTC 2014"
"3YLPJ8OXX8DJNIOY18J5U07XLH2X4Z","www.funwithasl.net/static/rattle.mp4","martial","influence","perhaps","down","rattle","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:03:09 UTC 2014"
"367O8HRHKG8BR12Z7YDIVSQ5620S4M","www.funwithasl.net/static/lamp.mp4","find","performance","today","lamp","toy","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:03:21 UTC 2014"
"33IXYHIZB5I0E4IU2PAPDWPSLXW2E0","www.funwithasl.net/static/miss.mp4","week","hope","miss","belt","repeat","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:06:22 UTC 2014"
"3S1L4CQSFX5HPLDUAFNA1WTQ9M3AFX","www.funwithasl.net/static/jury.mp4","pepper","begin","jury","put","half","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:05:29 UTC 2014"
"3IWA71V4TIGX25SCKWCKRYRBH88X6K","www.funwithasl.net/static/come.mp4","and","strange","come","long","something","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:05:35 UTC 2014"
"3NOEP8XAU425CBAHZSBTXYISCDZPXJ","www.funwithasl.net/static/martial.mp4","martial","approach","rush","familiar","pen","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:03:40 UTC 2014"
"3INZSNUD80Q6MIPTR3EKH1FLRR5D9A","www.funwithasl.net/static/mighty.mp4","moonlight","peace","mighty","earth","autumn","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:03:48 UTC 2014"
"3OQQD2WO8I61FRGZ28ELHLSCJ43I30","www.funwithasl.net/static/get.mp4","first","photograph","get","room","anything","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:07:24 UTC 2014"
"3TFJJUELSHPLH6YG6Y4UN8PP0LJ2C7","www.funwithasl.net/static/nurse.mp4","morning","get","nurse","something","dig","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:04:37 UTC 2014"
"3PKVGQTFIHKFOTG6HG1KL7PGF1GRYI","www.funwithasl.net/static/big.mp4","snake","law","parade","art","big","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:06:41 UTC 2014"
"311HQEI8RSG5B06W4O5XUX7IKJR7ZR","www.funwithasl.net/static/see.mp4","thursday","away","see","child","moment","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:08:08 UTC 2014"
"3TC2K6WK9G2J5383PMOPLMT6AUY281","www.funwithasl.net/static/musician.mp4","man","star","musician","magic","fish","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:08:01 UTC 2014"
