"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3I01FDIL6M8VMY4U6UZ57E77LLVD2I","www.funwithasl.net/static/lady.mp4","quick","lady","know","master","see","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:19:24 UTC 2014"
"3CVDZS288H0IRMMJ7IDFANOQ33RMFS","www.funwithasl.net/static/musician.mp4","man","star","musician","magic","fish","A2WNW8A4MOR7T7","Word 4","Fri Jun 27 00:21:26 UTC 2014"
"366FYU4PTGPVVKMKRVGTDSBM2XHEKX","www.funwithasl.net/static/meadow.mp4","trophy","west","rose","meadow","moon","A2WNW8A4MOR7T7","Word 4","Fri Jun 27 00:21:06 UTC 2014"
"3IVKZBIBJ0953DQUM5X1PHZ9B7NHSY","www.funwithasl.net/static/mushroom.mp4","cook","explain","way","mushroom","bottle","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:21:33 UTC 2014"
"3L21G7IH47WRVOHPJMM5FG73B3N1YX","www.funwithasl.net/static/tree.mp4","evening","thursday","heartless","tree","onset","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:20:47 UTC 2014"
"38EHZ67RIMSO5MIEI2JXS8O24IRMGR","www.funwithasl.net/static/star.mp4","gesture","deer","heart","star","pelican","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:21:43 UTC 2014"
"33Q5P9PUSPMBNH1SV5D8AJZWLUICZP","www.funwithasl.net/static/onward.mp4","heart","speechless","spirit","onward","great","A2M18L7COHRV57","Word 4","Fri Jun 27 00:22:11 UTC 2014"
"30Z7M1Q8UYK8A63721H4R4C4MIQA8G","www.funwithasl.net/static/turtle.mp4","course","custody","puppy","turtle","cook","A2M18L7COHRV57","Word 4","Fri Jun 27 00:22:39 UTC 2014"
"3EQPA8A374WYVV7Y5XUUXNCRBEQJZ9","www.funwithasl.net/static/young.mp4","leg","feed","corn","gallop","young","A2M18L7COHRV57","Word 5","Fri Jun 27 00:13:25 UTC 2014"
"31HLTCK4BLV7V9CNWUKOF47FVB3GV2","www.funwithasl.net/static/drawer.mp4","mushroom","knee","drawer","medicine","room","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:15:27 UTC 2014"
"3XBYQ44Z6P4OF3YY64OR0P5ISEDWT1","www.funwithasl.net/static/course.mp4","strange","may","voice","tell","course","A2M18L7COHRV57","Word 5","Fri Jun 27 00:14:47 UTC 2014"
"3PEG1BH7AERXOHA0H4E3CK51Z05KB4","www.funwithasl.net/static/master.mp4","get","young","run","home","master","A2M18L7COHRV57","Word 5","Fri Jun 27 00:15:03 UTC 2014"
"3NFWQRSHVEEIZCQXWFFKXI4T7HGFGE","www.funwithasl.net/static/mother.mp4","shadow","tie","bell","mermaid","mother","A2M18L7COHRV57","Word 5","Fri Jun 27 00:17:13 UTC 2014"
"338431Z1FLF3UFC4BTSMJGRE1RHRO7","www.funwithasl.net/static/way.mp4","hear","eye","others","map","way","A2M18L7COHRV57","Word 5","Fri Jun 27 00:16:26 UTC 2014"
"3P7RGTLO6EDS5758BQE7H9LVHIKKA9","www.funwithasl.net/static/landscape.mp4","landscape","land","robe","far","earth","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:17:14 UTC 2014"
"3EN4YVUOUCS9Q07J4F6902WG3ESJXC","www.funwithasl.net/static/deer.mp4","root","vulture","bison","deer","sun","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:18:10 UTC 2014"
"33N1S8XHHMLR0ERUF8OOTNG5HXR1ZO","www.funwithasl.net/static/margin.mp4","pitch","sweetheart","peace","margin","eagle","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:16:12 UTC 2014"
"3D7VY91L65XSE5A32GRJRXX5O5ZBMZ","www.funwithasl.net/static/gallop.mp4","bridge","voice","license","place","gallop","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:17:57 UTC 2014"
"3UZUVSO3P7VQL8MNC7T9S53QR2CMEA","www.funwithasl.net/static/mock.mp4","moment","repeat","custody","chin","mock","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:18:30 UTC 2014"
"3GITHABACYL48AV7VOD83JJ1ZPXN2A","www.funwithasl.net/static/say.mp4","morning","course","license","gallop","say","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:18:17 UTC 2014"
"3M67TQBQQHO8OBMH7TNIR07F6O8A95","www.funwithasl.net/static/mad.mp4","nothing","beg","make","low","mad","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:18:53 UTC 2014"
"3P0I4CQYVY782BTQAN2S6FZVT6WOW7","www.funwithasl.net/static/little.mp4","stupid","flamingo","curious","arm","little","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:19:14 UTC 2014"
"3UY4PIS8QRLXJPDBCKDUY09W7JJN1T","www.funwithasl.net/static/driver.mp4","driver","feed","old","voice","drive","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:20:13 UTC 2014"
"35U0MRQMUJ7VNMTLKDXWKDGHMXUOVX","www.funwithasl.net/static/lobster.mp4","get","right","curious","begin","lobster","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:21:09 UTC 2014"
"3I7KR83SNADE0OV3JK07LEABB02K9U","www.funwithasl.net/static/head.mp4","mad","key","voice","little","head","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:20:55 UTC 2014"
"3T6EIBTM9LOMTUWMZZ1INVIZC6QAAK","www.funwithasl.net/static/sweetheart.mp4","autumn","old","perish","shoes","sweetheart","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:21:00 UTC 2014"
"3UDTAB6HH6ZCNYOZFRQP2UV2X2V90C","www.funwithasl.net/static/night.mp4","dear","night","lady","pirate","go","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:20:44 UTC 2014"
"3QXFBUZ4ZKG7IUNNR4AJJI5WH4UGUD","www.funwithasl.net/static/crocodile.mp4","remember","lovely","ship","light","crocodile","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:22:08 UTC 2014"
"3O2Y2UIUCQUN1YMGM60ZVAWMEYXFKH","www.funwithasl.net/static/good.mp4","london","help","many","great","good","A2M18L7COHRV57","Word 5","Fri Jun 27 00:22:28 UTC 2014"
"3RIHDBQ1NEY25IDP281FD803JI4MHQ","www.funwithasl.net/static/gesture.mp4","pallid","squirrel","spirit","shoes","gesture","A2M18L7COHRV57","Word 5","Fri Jun 27 00:21:06 UTC 2014"
"3X52SWXE0X57TMWNKIT1BF5E4SECWZ","www.funwithasl.net/static/moment.mp4","want","cry","last","dog","moment","AO3XB5I5QNNUI","Word 5","Fri Jun 27 00:22:09 UTC 2014"
"3TUOHPJXYHXVWK7IBEPOPSQO5A1WXK","www.funwithasl.net/static/box.mp4","quick","box","long","ill","railway","A2WNW8A4MOR7T7","Word 5","Fri Jun 27 00:22:34 UTC 2014"
