"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3IV1AEQ4DRDJBZ6BW7UHK3FNCCBJ8A","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:51:05 UTC 2014"
"3B286OTISEHXUNZQT5EVGULI20BJAE","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A3HB9PPUZU565U","Choice 4","Tue Jul 08 05:55:17 UTC 2014"
"3M93N4X8HKN1UJLKA50M1UFOO6JJSB","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:34:01 UTC 2014"
"3421H3BM9AHJP4PL1Z0VKZAYWITJ9Z","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A1IV0802ICNA0A","Choice 1","Tue Jul 08 06:12:05 UTC 2014"
"37VHPF5VYC3W3L05MFDVXZ2SMS3C8Q","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A1GGOZPHYU0OC0","Choice 1","Tue Jul 08 06:39:09 UTC 2014"
"3OPLMF3EU5NA9WHF5UVDIFIA5WFLN2","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:56:39 UTC 2014"
"3UZUVSO3P7VQL8MNC7T9S53QR95EM9","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1IV0802ICNA0A","Choice 3","Tue Jul 08 06:00:54 UTC 2014"
"3L1EFR8WWT53K23PI99A51I63BD9FN","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A3HB9PPUZU565U","Choice 5","Tue Jul 08 05:50:27 UTC 2014"
"32TZXEA1OLKBXH35UFYYZR3WG9G41L","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:42:58 UTC 2014"
"3T2HW4QDUV7WHQJFR7J9XVX36YLC9F","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A841FR9QWUPT4","Choice 1","Tue Jul 08 05:36:51 UTC 2014"
